year,province,battle,adjacent_battle,road_battle,lagged_battle,peace_years,neighbors,area,region_tousan,region_toukai,region_hokuriku,region_kinai,region_nankai,region_sanin,region_sanyou,region_saikai,terrain_ruggedness
1468,hitachi,0,0,0,0,2,3,5562.37,0,1,0,0,0,0,0,0,72.34
1468,hizen,0,1,1,1,1,2,4760.32,0,0,0,0,0,0,0,1,167.53
1468,houki,0,1,0,0,2,5,2036.37,0,0,0,0,0,1,0,0,213.27
1468,hyuuga,0,0,0,0,2,4,8227.16,0,0,0,0,0,0,0,1,252.52
1468,iga,0,1,0,0,2,4,885.44,0,1,0,0,0,0,0,0,171.69
1468,inaba,0,1,1,0,2,4,1432.43,0,0,0,0,0,1,0,0,270.71
1468,ise,1,1,1,1,0,7,3506.41,0,1,0,0,0,0,0,0,201.76
1468,iwami,0,1,0,0,2,5,3760.11,0,0,0,0,0,1,0,0,217.38
1468,iyo,0,0,0,0,2,3,5461.32,0,0,0,0,1,0,0,0,316.54
1468,izu,0,0,0,0,2,2,1470.43,0,1,0,0,0,0,0,0,260.25
1468,izumi,0,1,1,0,2,3,738.87,0,0,0,1,0,0,0,0,131.45
1468,izumo,0,1,0,0,2,3,2687.53,0,0,0,0,0,1,0,0,155.56
1468,kaga,1,0,0,0,0,4,2171.04,0,0,1,0,0,0,0,0,248.98
1468,kai,1,1,0,0,0,4,4471.08,0,1,0,0,0,0,0,0,394.21
1468,kawachi,1,1,1,0,0,5,405.67,0,0,0,1,0,0,0,0,87.56
1468,kazusa,0,0,0,0,2,2,2583.24,0,1,0,0,0,0,0,0,44.8
1468,kii,0,1,0,1,1,4,5712.59,0,0,0,0,1,0,0,0,254.03
1468,kouzuke,0,1,1,0,2,6,6395.51,1,0,0,0,0,0,0,0,257.99
1468,mikawa,0,1,1,0,2,4,3370.87,0,1,0,0,0,0,0,0,153.71
1468,mimasaka,0,1,1,1,1,5,2570.88,0,0,0,0,0,0,1,0,217.15
1468,mino,1,1,1,0,0,7,7914.92,1,0,0,0,0,0,0,0,279.26
1468,musashi,0,1,0,0,2,5,5933.03,0,1,0,0,0,0,0,0,123.41
1468,mutsu,0,0,0,0,2,5,48432.08,1,0,0,0,0,0,0,0,183.43
1468,nagato,0,0,0,0,2,2,2372,0,0,0,0,0,0,1,0,173.88
1468,noto,0,1,1,0,2,2,2063.37,0,0,1,0,0,0,0,0,110.32
1468,osumi,0,0,0,0,2,2,3834.17,0,0,0,0,0,0,0,1,210.86
1468,oumi,1,1,1,1,0,7,3909.26,1,0,0,0,0,0,0,0,168.49
1468,owari,1,1,1,0,0,3,1751.16,0,1,0,0,0,0,0,0,29.4
1468,sagami,0,1,0,0,2,4,2002.77,0,1,0,0,0,0,0,0,184.31
1468,sanuki,0,0,0,0,2,2,1652.96,0,0,0,0,1,0,0,0,167.94
1468,satsuma,0,0,0,0,2,3,3539.38,0,0,0,0,0,0,0,1,154.55
1468,settsu,1,1,1,1,0,5,1380.59,0,0,0,1,0,0,0,0,131.81
1468,shima,0,1,1,0,2,1,343.43,0,1,0,0,0,0,0,0,100.57
1468,shimotsuke,0,0,0,0,2,4,6291.09,1,0,0,0,0,0,0,0,179.99
1468,shimousa,0,0,0,0,2,5,2833.68,0,1,0,0,0,0,0,0,15.3
1468,shinano,0,1,1,1,1,10,12083.18,1,0,0,0,0,0,0,0,350.72
1468,suo,0,1,1,0,2,3,3549.75,0,0,0,0,0,0,1,0,196.93
1468,suruga,0,1,1,0,2,5,3348.18,0,1,0,0,0,0,0,0,333.95
1468,tajima,1,1,1,0,0,4,2334.59,0,0,0,0,0,1,0,0,276.47
1468,tanba,0,1,1,1,1,7,2805.21,0,0,0,0,0,1,0,0,209.63
1468,tango,0,1,1,0,2,3,1352.15,0,0,0,0,0,1,0,0,201.56
1468,tosa,0,0,0,0,2,2,7174.71,0,0,0,0,1,0,0,0,319.07
1468,toutoumi,0,1,0,0,2,3,2979.13,0,1,0,0,0,0,0,0,235.65
1468,wakasa,0,1,1,0,2,4,904.47,0,0,1,0,0,0,0,0,276.13
1468,yamashiro,1,1,1,1,0,6,1038.34,0,0,0,1,0,0,0,0,151.14
1468,yamato,0,1,1,1,1,5,3679.69,0,0,0,1,0,0,0,0,305.85
1469,aki,0,1,1,0,2,3,4313.56,0,0,0,0,0,0,1,0,229.41
1469,awa1,0,0,0,0,3,1,686.77,0,1,0,0,0,0,0,0,104.67
1469,awa2,0,0,0,0,3,3,4132.61,0,0,0,0,1,0,0,0,337.25
1469,bicchu,1,1,1,0,0,4,2638.75,0,0,0,0,0,0,1,0,184.23
1469,bingo,1,1,1,1,0,5,3715.59,0,0,0,0,0,0,1,0,166.73
1469,bizen,0,1,1,0,2,3,1820.08,0,0,0,0,0,0,1,0,145.03
1469,bungo,0,1,1,0,3,5,5401.68,0,0,0,0,0,0,0,1,210.23
1469,buzen,1,1,1,0,0,2,2103.64,0,0,0,0,0,0,0,1,177.36
1469,chikugo,0,1,1,0,3,4,1275.43,0,0,0,0,0,0,0,1,136.77
1469,chikuzen,1,1,1,0,0,4,2492.58,0,0,0,0,0,0,0,1,162.61
1469,dewa,0,0,0,0,3,2,18401.59,1,0,0,0,0,0,0,0,190.97
1469,ecchu,0,1,1,0,3,5,4246.09,0,0,1,0,0,0,0,0,325.31
1469,echigo,0,0,0,0,3,5,11515.81,0,0,1,0,0,0,0,0,242.35
1469,echizen,0,1,1,1,1,5,3298.5,0,0,1,0,0,0,0,0,273.09
1469,harima,0,1,1,0,2,6,4211.55,0,0,0,0,0,0,1,0,187.01
1469,hida,0,1,1,0,3,5,4195.8,1,0,0,0,0,0,0,0,385.48
1469,higo,0,0,0,0,3,4,7324.94,0,0,0,0,0,0,0,1,211.91
1469,hitachi,0,0,0,0,3,3,5562.37,0,1,0,0,0,0,0,0,72.34
1469,hizen,1,1,1,0,0,2,4760.32,0,0,0,0,0,0,0,1,167.53
1469,houki,0,1,0,0,3,5,2036.37,0,0,0,0,0,1,0,0,213.27
1469,hyuuga,0,0,0,0,3,4,8227.16,0,0,0,0,0,0,0,1,252.52
1469,iga,0,1,0,0,3,4,885.44,0,1,0,0,0,0,0,0,171.69
1469,inaba,0,1,1,0,3,4,1432.43,0,0,0,0,0,1,0,0,270.71
1469,ise,0,1,1,1,1,7,3506.41,0,1,0,0,0,0,0,0,201.76
1469,iwami,0,1,1,0,3,5,3760.11,0,0,0,0,0,1,0,0,217.38
1469,iyo,0,0,0,0,3,3,5461.32,0,0,0,0,1,0,0,0,316.54
1469,izu,0,0,0,0,3,2,1470.43,0,1,0,0,0,0,0,0,260.25
1469,izumi,0,1,1,0,3,3,738.87,0,0,0,1,0,0,0,0,131.45
1469,izumo,0,1,0,0,3,3,2687.53,0,0,0,0,0,1,0,0,155.56
1469,kaga,0,1,1,1,1,4,2171.04,0,0,1,0,0,0,0,0,248.98
1469,kai,0,0,0,1,1,4,4471.08,0,1,0,0,0,0,0,0,394.21
1469,kawachi,0,1,1,1,1,5,405.67,0,0,0,1,0,0,0,0,87.56
1469,kazusa,0,0,0,0,3,2,2583.24,0,1,0,0,0,0,0,0,44.8
1469,kii,0,1,0,0,2,4,5712.59,0,0,0,0,1,0,0,0,254.03
1469,kouzuke,0,0,0,0,3,6,6395.51,1,0,0,0,0,0,0,0,257.99
1469,mikawa,0,1,1,0,3,4,3370.87,0,1,0,0,0,0,0,0,153.71
1469,mimasaka,0,1,0,0,2,5,2570.88,0,0,0,0,0,0,1,0,217.15
1469,mino,0,1,1,1,1,7,7914.92,1,0,0,0,0,0,0,0,279.26
1469,musashi,0,1,0,0,3,5,5933.03,0,1,0,0,0,0,0,0,123.41
1469,mutsu,0,0,0,0,3,5,48432.08,1,0,0,0,0,0,0,0,183.43
1469,nagato,1,0,0,0,0,2,2372,0,0,0,0,0,0,1,0,173.88
1469,noto,0,1,1,0,3,2,2063.37,0,0,1,0,0,0,0,0,110.32
1469,osumi,0,0,0,0,3,2,3834.17,0,0,0,0,0,0,0,1,210.86
1469,oumi,1,1,1,1,0,7,3909.26,1,0,0,0,0,0,0,0,168.49
1469,owari,0,1,1,1,1,3,1751.16,0,1,0,0,0,0,0,0,29.4
1469,sagami,0,1,0,0,3,4,2002.77,0,1,0,0,0,0,0,0,184.31
1469,sanuki,0,0,0,0,3,2,1652.96,0,0,0,0,1,0,0,0,167.94
1469,satsuma,0,0,0,0,3,3,3539.38,0,0,0,0,0,0,0,1,154.55
1469,settsu,1,1,1,1,0,5,1380.59,0,0,0,1,0,0,0,0,131.81
1469,shima,0,1,1,0,3,1,343.43,0,1,0,0,0,0,0,0,100.57
1469,shimotsuke,0,0,0,0,3,4,6291.09,1,0,0,0,0,0,0,0,179.99
1469,shimousa,0,0,0,0,3,5,2833.68,0,1,0,0,0,0,0,0,15.3
1469,shinano,0,1,1,0,2,10,12083.18,1,0,0,0,0,0,0,0,350.72
1469,suo,1,0,0,0,0,3,3549.75,0,0,0,0,0,0,1,0,196.93
1469,suruga,0,1,1,0,3,5,3348.18,0,1,0,0,0,0,0,0,333.95
1469,tajima,0,1,1,1,1,4,2334.59,0,0,0,0,0,1,0,0,276.47
1469,tanba,0,1,1,0,2,7,2805.21,0,0,0,0,0,1,0,0,209.63
1469,tango,1,1,1,0,0,3,1352.15,0,0,0,0,0,1,0,0,201.56
1469,tosa,0,0,0,0,3,2,7174.71,0,0,0,0,1,0,0,0,319.07
1469,toutoumi,0,0,0,0,3,3,2979.13,0,1,0,0,0,0,0,0,235.65
1469,wakasa,0,1,1,0,3,4,904.47,0,0,1,0,0,0,0,0,276.13
1469,yamashiro,1,1,1,1,0,6,1038.34,0,0,0,1,0,0,0,0,151.14
1469,yamato,1,1,1,0,0,5,3679.69,0,0,0,1,0,0,0,0,305.85
1470,aki,0,1,1,0,3,3,4313.56,0,0,0,0,0,0,1,0,229.41
1470,awa1,0,0,0,0,4,1,686.77,0,1,0,0,0,0,0,0,104.67
1470,awa2,0,0,0,0,4,3,4132.61,0,0,0,0,1,0,0,0,337.25
1470,bicchu,0,1,1,1,1,4,2638.75,0,0,0,0,0,0,1,0,184.23
1470,bingo,0,1,1,1,1,5,3715.59,0,0,0,0,0,0,1,0,166.73
1470,bizen,0,1,1,0,3,3,1820.08,0,0,0,0,0,0,1,0,145.03
1470,bungo,0,1,1,0,4,5,5401.68,0,0,0,0,0,0,0,1,210.23
1470,buzen,0,1,1,1,1,2,2103.64,0,0,0,0,0,0,0,1,177.36
1470,chikugo,0,1,1,0,4,4,1275.43,0,0,0,0,0,0,0,1,136.77
1470,chikuzen,0,1,1,1,1,4,2492.58,0,0,0,0,0,0,0,1,162.61
1470,dewa,0,1,1,0,4,2,18401.59,1,0,0,0,0,0,0,0,190.97
1470,ecchu,0,0,0,0,4,5,4246.09,0,0,1,0,0,0,0,0,325.31
1470,echigo,0,1,0,0,4,5,11515.81,0,0,1,0,0,0,0,0,242.35
1470,echizen,0,1,1,0,2,5,3298.5,0,0,1,0,0,0,0,0,273.09
1470,harima,0,1,1,0,3,6,4211.55,0,0,0,0,0,0,1,0,187.01
1470,hida,0,0,0,0,4,5,4195.8,1,0,0,0,0,0,0,0,385.48
1470,higo,0,0,0,0,4,4,7324.94,0,0,0,0,0,0,0,1,211.91
1470,hitachi,0,1,1,0,4,3,5562.37,0,1,0,0,0,0,0,0,72.34
1470,hizen,1,1,1,1,0,2,4760.32,0,0,0,0,0,0,0,1,167.53
1470,houki,0,1,0,0,4,5,2036.37,0,0,0,0,0,1,0,0,213.27
1470,hyuuga,0,0,0,0,4,4,8227.16,0,0,0,0,0,0,0,1,252.52
1470,iga,0,1,0,0,4,4,885.44,0,1,0,0,0,0,0,0,171.69
1470,inaba,0,0,0,0,4,4,1432.43,0,0,0,0,0,1,0,0,270.71
1470,ise,0,1,1,0,2,7,3506.41,0,1,0,0,0,0,0,0,201.76
1470,iwami,0,1,1,0,4,5,3760.11,0,0,0,0,0,1,0,0,217.38
1470,iyo,0,0,0,0,4,3,5461.32,0,0,0,0,1,0,0,0,316.54
1470,izu,0,0,0,0,4,2,1470.43,0,1,0,0,0,0,0,0,260.25
1470,izumi,0,1,1,0,4,3,738.87,0,0,0,1,0,0,0,0,131.45
1470,izumo,0,1,0,0,4,3,2687.53,0,0,0,0,0,1,0,0,155.56
1470,kaga,0,0,0,0,2,4,2171.04,0,0,1,0,0,0,0,0,248.98
1470,kai,0,0,0,0,2,4,4471.08,0,1,0,0,0,0,0,0,394.21
1470,kawachi,1,1,1,0,0,5,405.67,0,0,0,1,0,0,0,0,87.56
1470,kazusa,0,0,0,0,4,2,2583.24,0,1,0,0,0,0,0,0,44.8
1470,kii,0,1,0,0,3,4,5712.59,0,0,0,0,1,0,0,0,254.03
1470,kouzuke,0,1,0,0,4,6,6395.51,1,0,0,0,0,0,0,0,257.99
1470,mikawa,0,0,0,0,4,4,3370.87,0,1,0,0,0,0,0,0,153.71
1470,mimasaka,0,1,0,0,3,5,2570.88,0,0,0,0,0,0,1,0,217.15
1470,mino,0,1,1,0,2,7,7914.92,1,0,0,0,0,0,0,0,279.26
1470,musashi,0,0,0,0,4,5,5933.03,0,1,0,0,0,0,0,0,123.41
1470,mutsu,1,0,0,0,0,5,48432.08,1,0,0,0,0,0,0,0,183.43
1470,nagato,1,1,1,1,0,2,2372,0,0,0,0,0,0,1,0,173.88
1470,noto,0,0,0,0,4,2,2063.37,0,0,1,0,0,0,0,0,110.32
1470,osumi,0,0,0,0,4,2,3834.17,0,0,0,0,0,0,0,1,210.86
1470,oumi,0,1,1,1,1,7,3909.26,1,0,0,0,0,0,0,0,168.49
1470,owari,0,0,0,0,2,3,1751.16,0,1,0,0,0,0,0,0,29.4
1470,sagami,0,0,0,0,4,4,2002.77,0,1,0,0,0,0,0,0,184.31
1470,sanuki,0,0,0,0,4,2,1652.96,0,0,0,0,1,0,0,0,167.94
1470,satsuma,0,0,0,0,4,3,3539.38,0,0,0,0,0,0,0,1,154.55
1470,settsu,0,1,1,1,1,5,1380.59,0,0,0,1,0,0,0,0,131.81
1470,shima,0,0,0,0,4,1,343.43,0,1,0,0,0,0,0,0,100.57
1470,shimotsuke,0,1,1,0,4,4,6291.09,1,0,0,0,0,0,0,0,179.99
1470,shimousa,0,0,0,0,4,5,2833.68,0,1,0,0,0,0,0,0,15.3
1470,shinano,0,0,0,0,3,10,12083.18,1,0,0,0,0,0,0,0,350.72
1470,suo,1,1,1,1,0,3,3549.75,0,0,0,0,0,0,1,0,196.93
1470,suruga,0,0,0,0,4,5,3348.18,0,1,0,0,0,0,0,0,333.95
1470,tajima,0,1,1,0,2,4,2334.59,0,0,0,0,0,1,0,0,276.47
1470,tanba,0,1,1,0,3,7,2805.21,0,0,0,0,0,1,0,0,209.63
1470,tango,0,0,0,1,1,3,1352.15,0,0,0,0,0,1,0,0,201.56
1470,tosa,0,0,0,0,4,2,7174.71,0,0,0,0,1,0,0,0,319.07
1470,toutoumi,0,0,0,0,4,3,2979.13,0,1,0,0,0,0,0,0,235.65
1470,wakasa,0,1,1,0,4,4,904.47,0,0,1,0,0,0,0,0,276.13
1470,yamashiro,1,1,1,1,0,6,1038.34,0,0,0,1,0,0,0,0,151.14
1470,yamato,1,1,1,1,0,5,3679.69,0,0,0,1,0,0,0,0,305.85
1471,aki,1,1,1,0,0,3,4313.56,0,0,0,0,0,0,1,0,229.41
1471,awa1,1,0,0,0,0,1,686.77,0,1,0,0,0,0,0,0,104.67
1471,awa2,0,0,0,0,5,3,4132.61,0,0,0,0,1,0,0,0,337.25
1471,bicchu,0,1,1,0,2,4,2638.75,0,0,0,0,0,0,1,0,184.23
1471,bingo,1,1,1,0,0,5,3715.59,0,0,0,0,0,0,1,0,166.73
1471,bizen,0,0,0,0,4,3,1820.08,0,0,0,0,0,0,1,0,145.03
1471,bungo,0,1,1,0,5,5,5401.68,0,0,0,0,0,0,0,1,210.23
1471,buzen,0,1,1,0,2,2,2103.64,0,0,0,0,0,0,0,1,177.36
1471,chikugo,0,1,1,0,5,4,1275.43,0,0,0,0,0,0,0,1,136.77
1471,chikuzen,1,1,1,0,0,4,2492.58,0,0,0,0,0,0,0,1,162.61
1471,dewa,0,1,1,0,5,2,18401.59,1,0,0,0,0,0,0,0,190.97
1471,ecchu,0,0,0,0,5,5,4246.09,0,0,1,0,0,0,0,0,325.31
1471,echigo,0,1,0,0,5,5,11515.81,0,0,1,0,0,0,0,0,242.35
1471,echizen,1,1,1,0,0,5,3298.5,0,0,1,0,0,0,0,0,273.09
1471,harima,0,0,0,0,4,6,4211.55,0,0,0,0,0,0,1,0,187.01
1471,hida,0,1,0,0,5,5,4195.8,1,0,0,0,0,0,0,0,385.48
1471,higo,0,0,0,0,5,4,7324.94,0,0,0,0,0,0,0,1,211.91
1471,hitachi,0,1,1,0,5,3,5562.37,0,1,0,0,0,0,0,0,72.34
1471,hizen,0,1,1,1,1,2,4760.32,0,0,0,0,0,0,0,1,167.53
1471,houki,0,1,1,0,5,5,2036.37,0,0,0,0,0,1,0,0,213.27
1471,hyuuga,0,0,0,0,5,4,8227.16,0,0,0,0,0,0,0,1,252.52
1471,iga,0,1,0,0,5,4,885.44,0,1,0,0,0,0,0,0,171.69
1471,inaba,0,0,0,0,5,4,1432.43,0,0,0,0,0,1,0,0,270.71
1471,ise,0,1,1,0,3,7,3506.41,0,1,0,0,0,0,0,0,201.76
1471,iwami,0,1,1,0,5,5,3760.11,0,0,0,0,0,1,0,0,217.38
1471,iyo,0,0,0,0,5,3,5461.32,0,0,0,0,1,0,0,0,316.54
1471,izu,1,0,0,0,0,2,1470.43,0,1,0,0,0,0,0,0,260.25
1471,izumi,1,1,1,0,0,3,738.87,0,0,0,1,0,0,0,0,131.45
1471,izumo,1,1,0,0,0,3,2687.53,0,0,0,0,0,1,0,0,155.56
1471,kaga,0,1,1,0,3,4,2171.04,0,0,1,0,0,0,0,0,248.98
1471,kai,0,0,0,0,3,4,4471.08,0,1,0,0,0,0,0,0,394.21
1471,kawachi,0,1,1,1,1,5,405.67,0,0,0,1,0,0,0,0,87.56
1471,kazusa,1,1,1,0,0,2,2583.24,0,1,0,0,0,0,0,0,44.8
1471,kii,0,1,1,0,4,4,5712.59,0,0,0,0,1,0,0,0,254.03
1471,kouzuke,0,1,1,0,5,6,6395.51,1,0,0,0,0,0,0,0,257.99
1471,mikawa,0,0,0,0,5,4,3370.87,0,1,0,0,0,0,0,0,153.71
1471,mimasaka,0,0,0,0,4,5,2570.88,0,0,0,0,0,0,1,0,217.15
1471,mino,0,1,1,0,3,7,7914.92,1,0,0,0,0,0,0,0,279.26
1471,musashi,0,1,1,0,5,5,5933.03,0,1,0,0,0,0,0,0,123.41
1471,mutsu,0,1,1,1,1,5,48432.08,1,0,0,0,0,0,0,0,183.43
1471,nagato,0,1,1,1,1,2,2372,0,0,0,0,0,0,1,0,173.88
1471,noto,0,0,0,0,5,2,2063.37,0,0,1,0,0,0,0,0,110.32
1471,osumi,0,0,0,0,5,2,3834.17,0,0,0,0,0,0,0,1,210.86
1471,oumi,1,1,1,0,0,7,3909.26,1,0,0,0,0,0,0,0,168.49
1471,owari,0,0,0,0,3,3,1751.16,0,1,0,0,0,0,0,0,29.4
1471,sagami,0,1,1,0,5,4,2002.77,0,1,0,0,0,0,0,0,184.31
1471,sanuki,0,0,0,0,5,2,1652.96,0,0,0,0,1,0,0,0,167.94
1471,satsuma,0,0,0,0,5,3,3539.38,0,0,0,0,0,0,0,1,154.55
1471,settsu,0,1,1,0,2,5,1380.59,0,0,0,1,0,0,0,0,131.81
1471,shima,0,0,0,0,5,1,343.43,0,1,0,0,0,0,0,0,100.57
1471,shimotsuke,1,1,1,0,0,4,6291.09,1,0,0,0,0,0,0,0,179.99
1471,shimousa,1,1,0,0,0,5,2833.68,0,1,0,0,0,0,0,0,15.3
1471,shinano,0,0,0,0,4,10,12083.18,1,0,0,0,0,0,0,0,350.72
1471,suo,0,1,1,1,1,3,3549.75,0,0,0,0,0,0,1,0,196.93
1471,suruga,0,1,0,0,5,5,3348.18,0,1,0,0,0,0,0,0,333.95
1471,tajima,0,0,0,0,3,4,2334.59,0,0,0,0,0,1,0,0,276.47
1471,tanba,0,1,1,0,4,7,2805.21,0,0,0,0,0,1,0,0,209.63
1471,tango,0,0,0,0,2,3,1352.15,0,0,0,0,0,1,0,0,201.56
1471,tosa,0,0,0,0,5,2,7174.71,0,0,0,0,1,0,0,0,319.07
1471,toutoumi,0,0,0,0,5,3,2979.13,0,1,0,0,0,0,0,0,235.65
1471,wakasa,0,1,1,0,5,4,904.47,0,0,1,0,0,0,0,0,276.13
1471,yamashiro,1,1,1,1,0,6,1038.34,0,0,0,1,0,0,0,0,151.14
